Quartos,Área Construída,Banheiros,Vagas,Valor
4,269m²,4,4,R$ 1.900.191
4,337m²,4,4,R$ 2.490.249
3,200m²,2,3,R$ 950.000
3,110m²,2,3,R$ 520.000
3,90m²,1,3,R$ 389.000
4,103m²,2,2,R$ 536.100
2,71m²,2,2,R$ 259.000
3,90m²,2,3,R$ 309.000
4,188m²,4,5+,R$ 1.200.000
3,140m²,5+,3,R$ 499.000
3,100m²,1,3,R$ 450.000
4,108m²,2,2,R$ 481.999
4,150m²,2,4,R$ 530.056
3,108m²,2,3,R$ 450.048
3,93m²,4,3,R$ 387.900
4,100m²,2,4,R$ 280.000
3,100m²,2,2,R$ 400.400
4,180m²,3,5+,R$ 735.000
4,257m²,4,5+,R$ 1.800.000
4,150m²,3,4,R$ 850.000
2,80m²,2,2,R$ 260.026
3,100m²,2,3,R$ 365.000
3,80m²,2,3,R$ 299.000
4,235m²,4,2,R$ 1.230.000
3,90m²,2,3,R$ 309.000
3,90m²,2,2,R$ 309.039
3,130m²,3,4,R$ 600.042
4,170m²,3,4,R$ 849.995
3,92m²,4,3,R$ 439.000
4,300m²,4,4,R$ 2.500.125
3,90m²,2,3,R$ 309.000
3,165m²,2,3,R$ 875.075
3,100m²,2,3,R$ 519.000
4,331m²,5+,4,R$ 2.690.269
3,110m²,2,4,R$ 450.000
4,185m²,4,4,R$ 1.280.000
4,253m²,4,4,R$ 1.680.000
3,80m²,2,1,R$ 499.000
3,296m²,4,3,R$ 850.000
3,95m²,2,3,R$ 395.000
3,93m²,4,3,R$ 387.900
4,272m²,4,4,R$ 1.800.000
5+,520m²,4,5+,R$ 4.590.005
3,122m²,2,4,R$ 395.000
3,318m²,4,4,R$ 1.050.000
3,80m²,2,1,R$ 440.000
5+,330m²,4,5+,R$ 2.100.000
4,215m²,4,5+,R$ 1.019.000
3,113m²,2,3,R$ 465.012
3,173m²,4,4,R$ 1.100.000
3,100m²,1,3,R$ 380.000
4,250m²,4,5+,R$ 1.690.000
3,115m²,2,3,R$ 590.000
3,93m²,2,2,R$ 300.000
3,160m²,4,3,R$ 1.200.020
4,365m²,4,5+,R$ 3.900.000
3,180m²,4,3,R$ 850.000
4,158m²,3,3,R$ 720.021
5+,425m²,4,5+,R$ 3.950.395
4,803m²,5+,5+,R$ 13.500.000
3,86m²,2,2,R$ 272.999
3,296m²,4,3,R$ 850.000
3,93m²,4,3,R$ 387.900
3,198m²,2,3,R$ 420.000
3,118m²,2,3,R$ 544.000
3,93m²,4,3,R$ 387.900
3,93m²,4,3,R$ 387.900
4,80m²,2,1,R$ 472.000
3,150m²,3,4,R$ 850.000
3,93m²,4,3,R$ 387.900
3,92m²,2,2,R$ 299.000
3,93m²,2,2,R$ 299.000
3,110m²,2,2,R$ 320.000
3,103m²,3,2,R$ 349.801
3,120m²,2,3,R$ 405.005
3,111m²,2,3,R$ 384.984
3,111m²,3,4,R$ 399.000
3,115m²,2,3,R$ 590.059
4,320m²,5+,2,R$ 2.890.000
3,130m²,3,3,R$ 529.998
3,80m²,2,1,R$ 690.000
